famsize;Pstatus;Medu;Fedu;Mjob;Fjob;guardian;studytime;schoolsup;famsup;paid;activities;nursery;higher;internet;freetime;health;OutMarker;OutMarker2;OutMarker3
GT3;A;4;4;at_home;teacher;mother;2;yes;no;no;no;yes;yes;no;3;3;5;6;6
GT3;T;1;1;at_home;other;father;2;no;yes;no;no;no;yes;yes;3;3;5;5;6
LE3;T;1;1;at_home;other;mother;2;yes;no;yes;no;yes;yes;yes;3;3;7;8;10
GT3;T;4;2;health;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;5;15;14;15
GT3;T;3;3;other;other;father;2;no;yes;yes;no;yes;yes;no;3;5;6;10;10
LE3;T;4;3;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;15;15;15
LE3;T;2;2;other;other;mother;2;no;no;no;no;yes;yes;yes;4;3;12;12;11
GT3;A;4;4;other;teacher;mother;2;yes;yes;no;no;yes;yes;no;1;1;6;5;6
LE3;A;3;2;services;other;mother;2;no;yes;yes;no;yes;yes;yes;2;1;16;18;19
GT3;T;3;4;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;5;5;14;15;15
GT3;T;4;4;teacher;health;mother;2;no;yes;yes;no;yes;yes;yes;3;2;10;8;9
GT3;T;2;1;services;other;father;3;no;yes;no;yes;yes;yes;yes;2;4;10;12;12
LE3;T;4;4;health;services;father;1;no;yes;yes;yes;yes;yes;yes;3;5;14;14;14
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;4;3;10;10;11
GT3;A;2;2;other;other;other;3;no;yes;no;no;yes;yes;yes;5;3;14;16;16
GT3;T;4;4;health;other;mother;1;no;yes;no;no;yes;yes;yes;4;2;14;14;14
GT3;T;4;4;services;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;2;13;14;14
GT3;T;3;3;other;other;mother;2;yes;yes;no;yes;yes;yes;no;3;4;8;10;10
GT3;T;3;2;services;services;mother;1;no;yes;no;yes;yes;yes;yes;5;5;6;5;5
LE3;T;4;3;health;other;father;1;no;no;yes;yes;yes;yes;yes;1;5;8;10;10
GT3;T;4;3;teacher;other;mother;2;no;no;no;no;yes;yes;yes;4;1;13;14;15
GT3;T;4;4;health;health;father;1;no;yes;yes;no;yes;yes;yes;4;5;12;15;15
LE3;T;4;2;teacher;other;mother;2;no;no;no;yes;yes;yes;yes;5;5;15;15;16
LE3;T;2;2;other;other;mother;2;no;yes;no;yes;yes;yes;yes;4;5;13;13;12
GT3;T;2;4;services;health;mother;3;yes;yes;yes;yes;yes;yes;yes;3;5;10;9;8
GT3;T;2;2;services;services;mother;1;no;yes;yes;no;no;yes;yes;2;5;6;9;8
GT3;T;2;2;other;other;mother;1;no;yes;yes;no;yes;yes;yes;2;5;12;12;11
GT3;T;4;2;health;services;mother;1;no;no;yes;no;yes;yes;yes;2;1;15;16;15
LE3;A;3;4;services;other;mother;2;yes;yes;no;yes;yes;yes;yes;3;5;11;11;11
GT3;T;4;4;teacher;teacher;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;10;12;11
GT3;T;4;4;health;services;mother;2;no;yes;yes;no;no;yes;yes;4;5;9;11;12
GT3;T;4;4;services;services;mother;2;no;yes;no;yes;yes;yes;yes;3;5;17;16;17
GT3;T;4;3;teacher;at_home;mother;2;no;yes;no;yes;yes;yes;yes;5;5;17;16;16
LE3;T;3;3;other;other;mother;2;no;no;no;yes;no;yes;yes;3;2;8;10;12
GT3;T;3;2;other;other;mother;1;no;yes;yes;no;no;yes;yes;4;5;12;14;15
GT3;T;2;3;other;other;father;1;no;yes;no;yes;yes;yes;no;5;5;8;7;6
LE3;T;4;3;teacher;services;mother;3;no;yes;no;yes;yes;yes;yes;4;4;15;16;18
GT3;A;4;4;other;teacher;mother;3;no;yes;no;yes;yes;yes;yes;4;5;15;16;15
GT3;T;3;4;services;health;mother;3;yes;yes;yes;yes;yes;yes;yes;3;5;12;12;11
GT3;T;2;2;at_home;other;mother;1;yes;yes;yes;yes;yes;yes;no;3;2;14;13;13
LE3;T;2;2;other;other;mother;2;no;yes;no;yes;no;yes;yes;3;3;7;10;11
LE3;T;4;4;teacher;other;other;1;no;yes;no;no;no;yes;yes;4;5;12;12;12
GT3;T;4;4;services;teacher;father;2;no;yes;no;yes;yes;yes;yes;3;5;19;18;18
GT3;T;2;2;services;services;father;1;yes;yes;no;no;yes;yes;yes;4;1;8;8;11
LE3;T;2;2;other;at_home;father;2;yes;no;no;yes;yes;yes;yes;3;5;10;10;9
LE3;A;4;3;other;other;mother;2;yes;yes;yes;yes;yes;yes;yes;2;5;8;8;6
LE3;A;3;3;other;services;mother;2;no;yes;no;no;yes;yes;yes;3;3;11;12;11
GT3;T;4;3;health;services;mother;4;no;no;no;yes;yes;yes;yes;2;2;19;19;20
GT3;T;4;2;teacher;other;mother;2;no;yes;yes;no;yes;yes;no;3;5;15;15;14
GT3;T;4;4;services;teacher;father;2;yes;yes;no;yes;no;yes;yes;4;3;7;7;7
LE3;T;2;2;services;services;mother;2;no;yes;yes;no;yes;yes;yes;3;4;12;13;13
LE3;T;4;2;health;other;mother;2;no;yes;yes;no;yes;yes;yes;3;5;11;13;13
LE3;A;4;2;health;health;father;1;no;no;no;no;yes;yes;no;5;5;11;11;10
GT3;T;4;4;services;services;mother;1;yes;yes;yes;no;yes;yes;yes;3;5;8;10;11
LE3;A;3;3;other;other;mother;1;no;no;yes;no;yes;yes;yes;3;1;10;13;13
GT3;A;2;1;other;other;mother;2;no;no;yes;yes;yes;yes;yes;3;2;8;9;10
GT3;A;4;3;services;services;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;14;15;15
GT3;T;4;4;teacher;health;mother;2;no;yes;no;yes;yes;yes;no;2;5;14;15;15
LE3;T;1;2;other;at_home;father;2;yes;yes;no;yes;yes;yes;yes;3;5;9;10;9
