famsize;Pstatus;Medu;Fedu;Mjob;Fjob;guardian;studytime;schoolsup;famsup;paid;activities;nursery;higher;internet;freetime;health;OutMarker
GT3;A;4;4;at_home;teacher;mother;2;yes;no;no;no;yes;yes;no;3;3;2
GT3;T;1;1;at_home;other;father;2;no;yes;no;no;no;yes;yes;3;3;2
LE3;T;1;1;at_home;other;mother;2;yes;no;yes;no;yes;yes;yes;3;3;3
GT3;T;4;2;health;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;5;4
GT3;T;3;3;other;other;father;2;no;yes;yes;no;yes;yes;no;3;5;3
LE3;T;4;3;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;4
LE3;T;2;2;other;other;mother;2;no;no;no;no;yes;yes;yes;4;3;4
GT3;A;4;4;other;teacher;mother;2;yes;yes;no;no;yes;yes;no;1;1;3
LE3;A;3;2;services;other;mother;2;no;yes;yes;no;yes;yes;yes;2;1;5
GT3;T;3;4;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;5;5;4
GT3;T;4;4;teacher;health;mother;2;no;yes;yes;no;yes;yes;yes;3;2;3
GT3;T;2;1;services;other;father;3;no;yes;no;yes;yes;yes;yes;2;4;3
LE3;T;4;4;health;services;father;1;no;yes;yes;yes;yes;yes;yes;3;5;4
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;4;3;3
GT3;A;2;2;other;other;other;3;no;yes;no;no;yes;yes;yes;5;3;4
GT3;T;4;4;health;other;mother;1;no;yes;no;no;yes;yes;yes;4;2;4
GT3;T;4;4;services;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;2;4
GT3;T;3;3;other;other;mother;2;yes;yes;no;yes;yes;yes;no;3;4;3
GT3;T;3;2;services;services;mother;1;no;yes;no;yes;yes;yes;yes;5;5;3
LE3;T;4;3;health;other;father;1;no;no;yes;yes;yes;yes;yes;1;5;3
GT3;T;4;3;teacher;other;mother;2;no;no;no;no;yes;yes;yes;4;1;4
GT3;T;4;4;health;health;father;1;no;yes;yes;no;yes;yes;yes;4;5;4
LE3;T;4;2;teacher;other;mother;2;no;no;no;yes;yes;yes;yes;5;5;4
LE3;T;2;2;other;other;mother;2;no;yes;no;yes;yes;yes;yes;4;5;4
GT3;T;2;4;services;health;mother;3;yes;yes;yes;yes;yes;yes;yes;3;5;3
GT3;T;2;2;services;services;mother;1;no;yes;yes;no;no;yes;yes;2;5;3
GT3;T;2;2;other;other;mother;1;no;yes;yes;no;yes;yes;yes;2;5;4
GT3;T;4;2;health;services;mother;1;no;no;yes;no;yes;yes;yes;2;1;4
LE3;A;3;4;services;other;mother;2;yes;yes;no;yes;yes;yes;yes;3;5;4
GT3;T;4;4;teacher;teacher;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;3
GT3;T;4;4;health;services;mother;2;no;yes;yes;no;no;yes;yes;4;5;3
GT3;T;4;4;services;services;mother;2;no;yes;no;yes;yes;yes;yes;3;5;5
GT3;T;4;3;teacher;at_home;mother;2;no;yes;no;yes;yes;yes;yes;5;5;5
